params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.261872999999923,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.147326000000021,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.330481999999847,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.116414999999961,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.218597999999929,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.127795000000106,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.111502999999857,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.366990999999871,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.239147000000003,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.274051999999983,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.266689000000042,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.206067999999959,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",5.361243999999942,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.58084800000006,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.3962119999998777,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",5.623657000000094,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",5.851911999999857,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.353195999999798,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.38131199999998,100,0.0,0.0,0.0,0.0,0.0
