params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.0456850000000486,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.0201200000001336,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.960896000000048,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649726
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.9638020000002143,100,-3.1014423076923077,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.0229159999998956,100,-2.094230769230769,6.769230769230769,-13.375,6.769230769230769,9.999333187827249
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",29.74922400000014,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.4500880000000507,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.249283000000105,100,-2.0942307692307693,6.769230769230769,-13.375,6.769230769230769,9.999333187827249
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.1885369999999966,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.021628272780621
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.1606870000000526,100,-3.1014423076923077,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.110230999999658,100,-3.101442307692307,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0318590000001677,100,-2.2956730769230766,6.769230769230769,-13.375,6.769230769230769,10.021628272780621
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0980140000001484,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0310599999997976,100,-3.101442307692308,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.1345060000003286,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",30.538825000000088,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.72098700000015,100,-3.7057692307692305,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.6743470000001253,100,-1.6913461538461536,6.769230769230769,-13.375,6.769230769230769,9.942356466551992
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.720184000000245,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
