steps,time,reward,delta,converged
119,0.00046500000001969966,25976.068031963103,0.0003986723480124965,False
120,0.000510999999988826,25976.084895803426,0.00035880511319419384,False
121,0.00046700000001465014,25976.10007325971,0.00032292460187477445,False
122,0.00046500000001969966,25976.11373297036,0.00029063214174129826,False
123,0.0005500000000040473,25976.126026709946,0.00026156892761264317,False
124,0.0005280000000027485,25976.137091075587,0.00023541203484001016,False
125,0.0004660000000171749,25976.147049004656,0.00021187083143558993,False
126,0.0004659999999887532,25976.156011140818,0.0001906837483147683,False
127,0.00046699999998622843,25976.16407706337,0.0001716153734605541,False
128,0.0005089999999938755,25976.17133639366,0.00015445383610313002,False
129,0.0004660000000171749,25976.17786979091,0.00013900845249281701,False
130,0.00046499999999127795,25976.18374984845,0.00012510760723216663,False
131,0.000664000000000442,25976.189041900237,0.00011259684652031865,False
132,0.0004519999999956781,25976.193804746843,0.00010133716193649889,False
133,0.00044900000000325235,25976.198091308783,9.120344577695505e-05,False
134,0.0005319999999926495,25976.20194921453,8.208310117652218e-05,False
135,0.0004529999999931533,25976.20542132971,7.387479104181693e-05,False
136,0.0005019999999831271,25976.208546233363,6.648731192626656e-05,False
137,0.0005309999999951742,25976.211358646655,5.9838580682480824e-05,False
138,0.0004920000000083746,25976.21388981861,5.385472263697011e-05,False
139,0.0005530000000248947,25976.216167873376,4.84692503732731e-05,False
140,0.00045099999999820284,25976.21821812267,4.362232539278921e-05,False
141,0.0004989999999907013,25976.22006334703,3.9260092876247654e-05,False
142,0.00044900000000325235,25976.221724048955,3.5334083577254205e-05,False
143,0.00044700000000830187,25976.22321868068,3.180067528774089e-05,False
144,0.00044700000000830187,25976.224563849253,2.862060773622943e-05,False
145,0.00044499999998492967,25976.225774500945,2.575854693986912e-05,False
146,0.00045099999999820284,25976.226864087483,2.3182692302725627e-05,False
147,0.0004940000000033251,25976.22784471536,2.0864423163402535e-05,False
148,0.0004450000000133514,25976.228727280446,1.8777980926643068e-05,False
149,0.0005200000000229466,25976.229521589034,1.690018279987271e-05,False
150,0.0006539999999972679,25976.23023646676,1.5210164519885438e-05,False
151,0.0004479999999773554,25976.230879856706,1.3689148090634262e-05,False
152,0.0005119999999863012,25976.23145890766,1.2320233281570836e-05,False
153,0.0004500000000007276,25976.23198005352,1.1088209987519804e-05,False
154,0.000598999999994021,25976.232449084793,9.979389005820849e-06,True
